"","SampleSite_ID","Latitude","Longitude","MapPageID","Aspect","Elevation","Slope","TWI","Zone","Subzone","Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","Fire_Year_1","Fire_Number_1","Fire_Date_1","Fire_Severity_1","Severity_Patch_Size_1","Species_1","Age_1","Height_1","Crown_Closure_1","Disturbance_Type_1","Disturbance_Date_1","Harvest_Date_1","Fire_Year_2","Fire_Number_2","Fire_Date_2","Fire_Severity_2","Severity_Patch_Size_2","Species_2","Age_2","Height_2","Crown_Closure_2","Disturbance_Type_2","Disturbance_Date_2","Harvest_Date_2","Distance_to_Perimeter","Card","Beers_aspect","Azimuth"
"1",3,51.62508345,-124.0698318,86,112.1663437,1436,7.28869009,9.788966179,"SBPS","xc",NA,1085130.765,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",55,8.886529922,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,691.808233,3,1.08660240086711,"E"
"2",5,51.62459051,-124.040916,86,110.5560455,1289,8.544003487,12.52043152,"SBPS","xc",NA,1065131.188,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,16.29751968,40,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,336.3563414,5,0.00111414484669714,"E"
"3",6,51.63429745,-124.0838985,86,306.4692383,1437,7.150174618,8.747281075,"SBPS","xc",NA,1042321.067,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",183,17.39775085,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,721.2081378,6,0.620608163020321,"W"
"4",8,51.63380808,-124.0549765,86,121.8659744,1397,21.78302002,6.534674644,"SBPS","xc",NA,1114108.3,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",156,12.39665985,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1447.716778,8,0.646262680262667,"E"
"5",9,51.63356065,-124.0405157,86,80.21759033,1326,7.356969357,7.214692593,"SBPS","xc",NA,1045841.117,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,16.29751968,40,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,448.8020382,9,0.568535242628191,"E"
"6",13,51.61642891,-123.2165595,89,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1053608.665,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2009,"C20442","2009-08-01","Unknown",167.5119125,"Spruce",7,0.3,1,"","","1997-07-01",NA,"","","",NA,"",NA,NA,NA,"","",NA,61.18195118,13,1.51339347519461,"W"
"7",14,51.64326766,-124.0835069,86,290.2248535,1405,10.12422848,7.300874233,"SBPS","xc",NA,1040024.72,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,10.9913702,70,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,740.1682824,14,1.79895792639608,"W"
"8",15,51.64302384,-124.0690429,86,285.9454041,1445,3.640054941,7.225194454,"SBPS","xc",NA,1065697.835,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,12.08006001,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1718.460499,15,0.118903611904039,"W"
"9",16,51.64277819,-124.054579,86,120.5297089,1436,11.31923103,7.700128078,"SBPS","xc",NA,1100552.768,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,12.08006001,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1716.808276,16,1.82753447751574,"E"
"10",17,51.64253071,-124.0401153,86,104.9314194,1333,15.52417469,9.979487419,"SBPS","xc",NA,1070222.571,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",143,17.62000084,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,992.594608,17,0.23888659270394,"E"
"11",20,51.62504189,-123.2015387,89,292.0679016,1483,19.96246529,6.621952057,"SBPS","xc",NA,1012606.482,"TILL ","KLOAKUT","L",70,"MW",35,"WILLAN LAKE","SL",30,"W",NA,"","-",NA,"",NA,2009,"C20442","2009-08-01","Unknown",167.5119125,"PLI",82,13.8,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,112.2398363,20,0.205922911852119,"W"
"12",21,51.65272002,-124.1120497,86,69.44395447,1194,4.272001743,7.065110683,"IDF","dw",NA,1027075.867,"GLACIOFLUVIAL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",103,17.5050602,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,279.7101127,21,1.97497730764058,"E"
"13",23,51.65223779,-124.0831152,86,280.3048401,1381,11.18033981,7.489330769,"SBPS","xc",NA,1044998.449,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,10.9913702,70,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,992.599342,23,0.0112289898277337,"W"
"14",25,51.65174822,-124.0541813,86,326.8886719,1453,6.864765167,7.283938885,"SBPS","xc",NA,1035699.661,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,12.08006001,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2384.083903,25,1.92488717833391,"N"
"15",28,51.6507471,-123.9963156,86,180,1367,2.5,11.0974102,"SBPS","xc",NA,1076856.007,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"Spruce",103,16.00227928,40,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2197.110973,28,0.0699051219954746,"S"
"16",29,51.65049223,-123.9818496,86,149.0362396,1405,1.457737923,8.140307426,"SBPS","xc",NA,1075269.522,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",148,20.23560905,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1596.560071,29,0.323864399203264,"S"
"17",30,51.64971664,-123.9384526,87,291.0375061,1435,3.482097149,10.10277176,"SBPS","xc",NA,1063045.452,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",126,17.5900898,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,918.9460015,30,1.11266809209264,"W"
"18",32,51.64919041,-123.9095221,87,321.3401794,1464,3.201562166,8.962992668,"SBPS","xc",NA,1059430.395,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,173.0266564,32,1.94119874494654,"N"
"19",33,51.64892455,-123.8950572,87,21.80140877,1458,2.692582369,7.526692867,"SBPS","xc",NA,1059016.538,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",42,8.218119621,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,197.9924216,33,0.263444850660712,"N"
"20",34,51.64865686,-123.8805923,87,90,1434,4,8.517193794,"SBPS","xc",NA,1070400.228,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",42,8.218119621,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,234.5481764,34,1.088368686104,"E"
"21",38,51.66120784,-124.0827233,86,278.6156616,1366,8.34416008,11.61056709,"SBPS","xc",NA,1050288.885,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",113,13.90822983,2,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1695.410733,38,0.968386987700276,"W"
"22",39,51.66096392,-124.0682533,86,291.8014221,1431,5.385164738,6.833545685,"SBPS","xc",NA,1057077.047,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",218,17.58605003,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2391.351804,39,0.39401131742217,"W"
"23",40,51.66071818,-124.0537835,86,74.05460358,1424,7.280109882,7.918341637,"SBPS","xc",NA,1055036.472,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,14.24468994,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2209.870959,40,0.679822109886322,"E"
"24",42,51.66022118,-124.0248444,86,82.87498474,1325,4.031128883,7.123147011,"SBPS","xc",NA,1052102.343,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",156,12.39665985,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,859.0396265,42,1.80180765540353,"E"
"25",43,51.65996993,-124.0103751,86,230.1944275,1360,3.905124903,7.154903889,"SBPS","xc",NA,1075678.633,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",43,10.14239025,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1216.432686,43,0.0461741636713112,"W"
"26",44,51.65971685,-123.995906,86,319.7636414,1389,4.25734663,7.761694431,"SBPS","xc",NA,1044449.788,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",191,19.14495087,20,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1885.532941,44,1.33244380899509,"N"
"27",45,51.65946194,-123.981437,86,356.1859131,1379,3.758324146,8.579514503,"SBPS","xc",NA,1040332.284,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"Spruce",173,21.93073082,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1834.035072,45,0.193654695945967,"N"
"28",46,51.65920519,-123.9669682,87,0,1380,2,8.517193794,"SBPS","xc",NA,1051763.943,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",66,12.7676897,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1664.154602,46,1.85090352453412,"N"
"29",47,51.65842395,-123.9235629,87,278.1300964,1446,1.767766953,8.640623093,"SBPS","xc",NA,1071625.392,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",146,16.95986938,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1421.324893,47,1.4385161293544,"W"
"30",48,51.65789395,-123.8946268,87,336.8014221,1447,1.9039433,7.87326622,"SBPS","xc",NA,1062468.046,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1127.041382,48,0.00478981453327876,"N"
"31",54,51.67041994,-124.0968043,86,277.4313965,1220,5.798706532,8.145853043,"SBPS","xc",NA,1034485.514,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"Spruce",160,25.12166977,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,651.4984733,54,1.91384193437107,"W"
"32",55,51.67017781,-124.0823312,86,303.6900635,1329,10.81665421,7.2347188,"SBPS","xc",NA,1014349.54,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",103,20.39796066,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1633.002652,55,1.02671786871153,"W"
"33",56,51.66993385,-124.0678583,86,306.4692383,1410,7.150174618,9.322645187,"SBPS","xc",NA,1039008.18,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",218,17.58605003,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2260.252481,56,0.620608163020321,"W"
"34",58,51.66944042,-124.038913,86,293.1985779,1384,1.9039433,9.259560585,"SBPS","xc",NA,1059756.218,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",73,11.64898968,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,892.6954343,58,0.111792582312934,"W"
"35",59,51.66893966,-124.0099683,86,270,1357,3.5,8.873867989,"SBPS","xc",NA,1060100.628,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,40,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,865.8710587,59,1.74513326455741,"W"
"36",62,51.66791614,-123.9520809,87,294.4439697,1372,6.04152298,8.915761948,"SBPS","xc",NA,1045447.537,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",66,12.7676897,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2163.744303,62,1.15137891194117,"W"
"37",65,51.67938988,-124.096415,86,296.5650635,1227,4.472136021,9.584276199,"SBPS","xc",NA,1028388.145,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"AT",43,10.85783005,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,311.2102551,65,1.76338392509208,"W"
"38",70,51.67816066,-124.0240365,86,212.1957397,1333,7.976528168,7.133837223,"SBPS","xc",NA,1094845.946,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",85,14.62073994,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,242.0973569,70,0.596940116872549,"S"
"39",72,51.67765614,-123.9950862,86,25.55996513,1353,6.373774529,6.665001392,"SBPS","xc",NA,1023274.266,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",123,16.82888031,20,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,391.8978327,72,1.99208887798459,"N"
"40",73,51.67714427,-123.9661366,87,63.43494797,1334,3.354101896,8.916447639,"SBPS","xc",NA,1047594.884,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,932.1538292,73,1.99875018936595,"E"
"41",74,51.67688559,-123.9516621,87,259.6951599,1366,5.590169907,6.796183586,"SBPS","xc",NA,1066480.543,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"Spruce",173,20.93918991,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1683.816519,74,1.03931736133415,"W"
"42",78,51.68787347,-124.0670677,86,254.0546112,1350,3.640054941,11.96139336,"SBPS","xc",NA,1064729.641,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",70,14.08819962,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1252.872642,78,0.432629497574885,"W"
"43",79,51.68687889,-124.0091541,86,352.5686035,1334,5.798706532,6.759558678,"SBPS","xc",NA,1021259.94,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,20,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,380.6309123,79,1.98768001872863,"N"
"44",88,51.69684316,-124.0666722,86,311.8201599,1309,6.373774529,7.763614178,"SBPS","xc",NA,1026018.818,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",93,13.20049953,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,417.1933242,88,0.0309377596977209,"W"
"45",97,51.70430932,-123.9793715,86,333.4349365,1319,3.354101896,7.30700922,"SBPS","xc",NA,1037099.841,"ORGANIC ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",63,8.674799919,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,250.3882408,97,1.99194908717143,"N"
"46",99,51.70379348,-123.9504045,87,303.6900635,1343,5.408327103,6.829253674,"SBPS","xc",NA,1038908.313,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,2003,"C50214","2003-07-22","Unknown",27655.62884,"PLI",43,6.059229851,50,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1423.584542,99,1.02671786871153,"W"
"47",106,51.70808078,-123.7037439,88,321.3401794,1083,35.21718216,5.648806572,"IDF","dk",4,795787.5347,"GLACIOFLUVIAL ","HAWKS","SIL",100,"R",25,"","-",NA,"",NA,"","-",NA,"",NA,2010,"C50345","2010-08-02","Unknown",28.07107998,"PLI",130,17.2,60,"IBM","2007-01-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,16.01305831,106,1.94119874494654,"N"
"48",107,51.72588392,-124.1959064,79,161.5650482,1253,3.162277699,7.365900993,"IDF","dk",4,1063782.525,"TILL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,2013,"C50038","2013-05-03","Unknown",156.9880386,"PLI",53,7.5,30,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,240.6315074,107,0.296672996008032,"S"
